ID,HBO1,HHB1,HBO2,HHB2,Thickness,complete
32944,11.0,3.5,37,17,16,False
32945,11.0,3.5,37,17,18,False
32946,11.0,3.5,37,17,20,False
32947,11.0,3.5,37,19,10,False
32948,11.0,3.5,37,19,12,False
32949,11.0,3.5,37,19,14,False
32950,11.0,3.5,37,19,16,False
32951,11.0,3.5,37,19,18,False
32952,11.0,3.5,37,19,20,False
32953,11.0,3.5,37,21,10,False
32954,11.0,3.5,37,21,12,False
32955,11.0,3.5,37,21,14,False
32956,11.0,3.5,37,21,16,False
32957,11.0,3.5,37,21,18,False
32958,11.0,3.5,37,21,20,False
32959,11.0,3.5,37,23,10,False
32960,11.0,3.5,37,23,12,False
32961,11.0,3.5,37,23,14,False
32962,11.0,3.5,37,23,16,False
32963,11.0,3.5,37,23,18,False
32964,11.0,3.5,37,23,20,False
32965,11.0,3.5,37,25,10,False
32966,11.0,3.5,37,25,12,False
32967,11.0,3.5,37,25,14,False
32968,11.0,3.5,37,25,16,False
32969,11.0,3.5,37,25,18,False
32970,11.0,3.5,37,25,20,False
32971,11.0,3.5,37,27,10,False
32972,11.0,3.5,37,27,12,False
32973,11.0,3.5,37,27,14,False
32974,11.0,3.5,37,27,16,False
32975,11.0,3.5,37,27,18,False
32976,11.0,3.5,37,27,20,False
32977,11.0,3.5,37,29,10,False
32978,11.0,3.5,37,29,12,False
32979,11.0,3.5,37,29,14,False
32980,11.0,3.5,37,29,16,False
32981,11.0,3.5,37,29,18,False
32982,11.0,3.5,37,29,20,False
32983,11.0,3.5,37,31,10,False
32984,11.0,3.5,37,31,12,False
32985,11.0,3.5,37,31,14,False
32986,11.0,3.5,37,31,16,False
32987,11.0,3.5,37,31,18,False
32988,11.0,3.5,37,31,20,False
32989,11.0,3.5,37,33,10,False
32990,11.0,3.5,37,33,12,False
32991,11.0,3.5,37,33,14,False
32992,11.0,3.5,37,33,16,False
32993,11.0,3.5,37,33,18,False
32994,11.0,3.5,37,33,20,False
32995,11.0,3.5,37,35,10,False
32996,11.0,3.5,37,35,12,False
32997,11.0,3.5,37,35,14,False
32998,11.0,3.5,37,35,16,False
32999,11.0,3.5,37,35,18,False
33000,11.0,3.5,37,35,20,False
33001,11.0,3.5,40,15,10,False
33002,11.0,3.5,40,15,12,False
33003,11.0,3.5,40,15,14,False
33004,11.0,3.5,40,15,16,False
33005,11.0,3.5,40,15,18,False
33006,11.0,3.5,40,15,20,False
33007,11.0,3.5,40,17,10,False
33008,11.0,3.5,40,17,12,False
33009,11.0,3.5,40,17,14,False
33010,11.0,3.5,40,17,16,False
33011,11.0,3.5,40,17,18,False
33012,11.0,3.5,40,17,20,False
33013,11.0,3.5,40,19,10,False
33014,11.0,3.5,40,19,12,False
33015,11.0,3.5,40,19,14,False
33016,11.0,3.5,40,19,16,False
33017,11.0,3.5,40,19,18,False
33018,11.0,3.5,40,19,20,False
33019,11.0,3.5,40,21,10,False
33020,11.0,3.5,40,21,12,False
33021,11.0,3.5,40,21,14,False
33022,11.0,3.5,40,21,16,False
33023,11.0,3.5,40,21,18,False
33024,11.0,3.5,40,21,20,False
33025,11.0,3.5,40,23,10,False
33026,11.0,3.5,40,23,12,False
33027,11.0,3.5,40,23,14,False
33028,11.0,3.5,40,23,16,False
33029,11.0,3.5,40,23,18,False
33030,11.0,3.5,40,23,20,False
33031,11.0,3.5,40,25,10,False
33032,11.0,3.5,40,25,12,False
33033,11.0,3.5,40,25,14,False
33034,11.0,3.5,40,25,16,False
33035,11.0,3.5,40,25,18,False
33036,11.0,3.5,40,25,20,False
33037,11.0,3.5,40,27,10,False
33038,11.0,3.5,40,27,12,False
33039,11.0,3.5,40,27,14,False
33040,11.0,3.5,40,27,16,False
33041,11.0,3.5,40,27,18,False
33042,11.0,3.5,40,27,20,False
33043,11.0,3.5,40,29,10,False
33044,11.0,3.5,40,29,12,False
33045,11.0,3.5,40,29,14,False
33046,11.0,3.5,40,29,16,False
33047,11.0,3.5,40,29,18,False
33048,11.0,3.5,40,29,20,False
33049,11.0,3.5,40,31,10,False
33050,11.0,3.5,40,31,12,False
33051,11.0,3.5,40,31,14,False
33052,11.0,3.5,40,31,16,False
33053,11.0,3.5,40,31,18,False
33054,11.0,3.5,40,31,20,False
33055,11.0,3.5,40,33,10,False
33056,11.0,3.5,40,33,12,False
33057,11.0,3.5,40,33,14,False
33058,11.0,3.5,40,33,16,False
33059,11.0,3.5,40,33,18,False
33060,11.0,3.5,40,33,20,False
33061,11.0,3.5,40,35,10,False
33062,11.0,3.5,40,35,12,False
33063,11.0,3.5,40,35,14,False
33064,11.0,3.5,40,35,16,False
33065,11.0,3.5,40,35,18,False
33066,11.0,3.5,40,35,20,False
33067,11.0,3.5,43,15,10,False
33068,11.0,3.5,43,15,12,False
33069,11.0,3.5,43,15,14,False
33070,11.0,3.5,43,15,16,False
33071,11.0,3.5,43,15,18,False
33072,11.0,3.5,43,15,20,False
33073,11.0,3.5,43,17,10,False
33074,11.0,3.5,43,17,12,False
33075,11.0,3.5,43,17,14,False
33076,11.0,3.5,43,17,16,False
33077,11.0,3.5,43,17,18,False
33078,11.0,3.5,43,17,20,False
33079,11.0,3.5,43,19,10,False
33080,11.0,3.5,43,19,12,False
33081,11.0,3.5,43,19,14,False
33082,11.0,3.5,43,19,16,False
33083,11.0,3.5,43,19,18,False
33084,11.0,3.5,43,19,20,False
33085,11.0,3.5,43,21,10,False
33086,11.0,3.5,43,21,12,False
33087,11.0,3.5,43,21,14,False
33088,11.0,3.5,43,21,16,False
