ID,HBO1,HHB1,HBO2,HHB2,Thickness,complete
76867,18.5,8.5,52,29,10,False
76868,18.5,8.5,52,29,12,False
76869,18.5,8.5,52,29,14,False
76870,18.5,8.5,52,29,16,False
76871,18.5,8.5,52,29,18,False
76872,18.5,8.5,52,29,20,False
76873,18.5,8.5,52,31,10,False
76874,18.5,8.5,52,31,12,False
76875,18.5,8.5,52,31,14,False
76876,18.5,8.5,52,31,16,False
76877,18.5,8.5,52,31,18,False
76878,18.5,8.5,52,31,20,False
76879,18.5,8.5,52,33,10,False
76880,18.5,8.5,52,33,12,False
76881,18.5,8.5,52,33,14,False
76882,18.5,8.5,52,33,16,False
76883,18.5,8.5,52,33,18,False
76884,18.5,8.5,52,33,20,False
76885,18.5,8.5,52,35,10,False
76886,18.5,8.5,52,35,12,False
76887,18.5,8.5,52,35,14,False
76888,18.5,8.5,52,35,16,False
76889,18.5,8.5,52,35,18,False
76890,18.5,8.5,52,35,20,False
76891,18.5,8.5,55,15,10,False
76892,18.5,8.5,55,15,12,False
76893,18.5,8.5,55,15,14,False
76894,18.5,8.5,55,15,16,False
76895,18.5,8.5,55,15,18,False
76896,18.5,8.5,55,15,20,False
76897,18.5,8.5,55,17,10,False
76898,18.5,8.5,55,17,12,False
76899,18.5,8.5,55,17,14,False
76900,18.5,8.5,55,17,16,False
76901,18.5,8.5,55,17,18,False
76902,18.5,8.5,55,17,20,False
76903,18.5,8.5,55,19,10,False
76904,18.5,8.5,55,19,12,False
76905,18.5,8.5,55,19,14,False
76906,18.5,8.5,55,19,16,False
76907,18.5,8.5,55,19,18,False
76908,18.5,8.5,55,19,20,False
76909,18.5,8.5,55,21,10,False
76910,18.5,8.5,55,21,12,False
76911,18.5,8.5,55,21,14,False
76912,18.5,8.5,55,21,16,False
76913,18.5,8.5,55,21,18,False
76914,18.5,8.5,55,21,20,False
76915,18.5,8.5,55,23,10,False
76916,18.5,8.5,55,23,12,False
76917,18.5,8.5,55,23,14,False
76918,18.5,8.5,55,23,16,False
76919,18.5,8.5,55,23,18,False
76920,18.5,8.5,55,23,20,False
76921,18.5,8.5,55,25,10,False
76922,18.5,8.5,55,25,12,False
76923,18.5,8.5,55,25,14,False
76924,18.5,8.5,55,25,16,False
76925,18.5,8.5,55,25,18,False
76926,18.5,8.5,55,25,20,False
76927,18.5,8.5,55,27,10,False
76928,18.5,8.5,55,27,12,False
76929,18.5,8.5,55,27,14,False
76930,18.5,8.5,55,27,16,False
76931,18.5,8.5,55,27,18,False
76932,18.5,8.5,55,27,20,False
76933,18.5,8.5,55,29,10,False
76934,18.5,8.5,55,29,12,False
76935,18.5,8.5,55,29,14,False
76936,18.5,8.5,55,29,16,False
76937,18.5,8.5,55,29,18,False
76938,18.5,8.5,55,29,20,False
76939,18.5,8.5,55,31,10,False
76940,18.5,8.5,55,31,12,False
76941,18.5,8.5,55,31,14,False
76942,18.5,8.5,55,31,16,False
76943,18.5,8.5,55,31,18,False
76944,18.5,8.5,55,31,20,False
76945,18.5,8.5,55,33,10,False
76946,18.5,8.5,55,33,12,False
76947,18.5,8.5,55,33,14,False
76948,18.5,8.5,55,33,16,False
76949,18.5,8.5,55,33,18,False
76950,18.5,8.5,55,33,20,False
76951,18.5,8.5,55,35,10,False
76952,18.5,8.5,55,35,12,False
76953,18.5,8.5,55,35,14,False
76954,18.5,8.5,55,35,16,False
76955,18.5,8.5,55,35,18,False
76956,18.5,8.5,55,35,20,False
76957,18.5,9.5,25,15,10,False
76958,18.5,9.5,25,15,12,False
76959,18.5,9.5,25,15,14,False
76960,18.5,9.5,25,15,16,False
76961,18.5,9.5,25,15,18,False
76962,18.5,9.5,25,15,20,False
76963,18.5,9.5,25,17,10,False
76964,18.5,9.5,25,17,12,False
76965,18.5,9.5,25,17,14,False
76966,18.5,9.5,25,17,16,False
76967,18.5,9.5,25,17,18,False
76968,18.5,9.5,25,17,20,False
76969,18.5,9.5,25,19,10,False
76970,18.5,9.5,25,19,12,False
76971,18.5,9.5,25,19,14,False
76972,18.5,9.5,25,19,16,False
76973,18.5,9.5,25,19,18,False
76974,18.5,9.5,25,19,20,False
76975,18.5,9.5,25,21,10,False
76976,18.5,9.5,25,21,12,False
76977,18.5,9.5,25,21,14,False
76978,18.5,9.5,25,21,16,False
76979,18.5,9.5,25,21,18,False
76980,18.5,9.5,25,21,20,False
76981,18.5,9.5,25,23,10,False
76982,18.5,9.5,25,23,12,False
76983,18.5,9.5,25,23,14,False
76984,18.5,9.5,25,23,16,False
76985,18.5,9.5,25,23,18,False
76986,18.5,9.5,25,23,20,False
76987,18.5,9.5,25,25,10,False
76988,18.5,9.5,25,25,12,False
76989,18.5,9.5,25,25,14,False
76990,18.5,9.5,25,25,16,False
76991,18.5,9.5,25,25,18,False
76992,18.5,9.5,25,25,20,False
76993,18.5,9.5,25,27,10,False
76994,18.5,9.5,25,27,12,False
76995,18.5,9.5,25,27,14,False
76996,18.5,9.5,25,27,16,False
76997,18.5,9.5,25,27,18,False
76998,18.5,9.5,25,27,20,False
76999,18.5,9.5,25,29,10,False
77000,18.5,9.5,25,29,12,False
77001,18.5,9.5,25,29,14,False
77002,18.5,9.5,25,29,16,False
77003,18.5,9.5,25,29,18,False
77004,18.5,9.5,25,29,20,False
77005,18.5,9.5,25,31,10,False
77006,18.5,9.5,25,31,12,False
77007,18.5,9.5,25,31,14,False
77008,18.5,9.5,25,31,16,False
77009,18.5,9.5,25,31,18,False
77010,18.5,9.5,25,31,20,False
77011,18.5,9.5,25,33,10,False
77012,18.5,9.5,25,33,12,False
77013,18.5,9.5,25,33,14,False
77014,18.5,9.5,25,33,16,False
77015,18.5,9.5,25,33,18,False
77016,18.5,9.5,25,33,20,False
77017,18.5,9.5,25,35,10,False
77018,18.5,9.5,25,35,12,False
77019,18.5,9.5,25,35,14,False
77020,18.5,9.5,25,35,16,False
77021,18.5,9.5,25,35,18,False
77022,18.5,9.5,25,35,20,False
77023,18.5,9.5,28,15,10,False
77024,18.5,9.5,28,15,12,False
77025,18.5,9.5,28,15,14,False
77026,18.5,9.5,28,15,16,False
77027,18.5,9.5,28,15,18,False
77028,18.5,9.5,28,15,20,False
77029,18.5,9.5,28,17,10,False
77030,18.5,9.5,28,17,12,False
77031,18.5,9.5,28,17,14,False
77032,18.5,9.5,28,17,16,False
77033,18.5,9.5,28,17,18,False
77034,18.5,9.5,28,17,20,False
77035,18.5,9.5,28,19,10,False
77036,18.5,9.5,28,19,12,False
77037,18.5,9.5,28,19,14,False
